model,seed,val_dice,dfuc_dice,dfuc_iou
U-Net (ResNet34),42,0.8248160326480866,0.4674164844879076,0.3813012022280261
U-Net (ResNet34),123,0.8168823975324631,0.5151938661705974,0.4276612348171222
U-Net (ResNet34),2024,0.8103865504264831,0.5203188201660268,0.4322946284314129
DeepLabV3+ (ResNet34),42,0.790502723455429,0.46692268360975225,0.3826832070512327
DeepLabV3+ (ResNet34),123,0.8015067636966705,0.5022679861938362,0.4076615838162382
DeepLabV3+ (ResNet34),2024,0.8140422415733337,0.4970768747627735,0.4046511894799769
SegFormer-B2,42,0.8305461132526397,0.5564744485542178,0.456520703677088
SegFormer-B2,123,0.8372076749801636,0.5597387579686016,0.46155534794991915
SegFormer-B2,2024,0.8347097969055176,0.5544587281439454,0.4564642581222579
